disease,total_risk_score,risk_category,primary_risk_factors,modifiable_factors,genetic_predisposition,environmental_risk,age_adjusted_risk,gender_adjusted_risk,prevention_potential,age_score,gender_score,bmi_score,smoking_status_score,alcohol_consumption_score,physical_activity_score,family_history_score,blood_pressure_score,cholesterol_level_score,blood_sugar_level_score,stress_level_score,sleep_quality_score,diet_quality_score,environmental_factors_score
GERD,4.58,Moderate,"Sleep Quality, Smoking Status, Physical Activity","Smoking, Exercise",Unknown,High,3.75,4.13,Moderate,9.3,4.91,9.63,4.84,2.62,1.26,1.35,8.07,7.92,1.32,3.12,4.57,4.11,1.06
Diabetes Type 2,4.26,Moderate,"BMI, Gender, Cholesterol Level","Sleep, Smoking",Low,Low,6.0,5.06,High,1.14,2.3,6.48,3.2,5.56,3.68,5.25,2.83,2.87,4.05,6.0,3.76,8.67,3.88
Lymphoma,5.92,Moderate,"Physical Activity, Blood Pressure, Cholesterol Level","Sleep, Smoking",Moderate,Low,7.59,7.58,High,5.49,7.14,7.33,6.57,7.77,9.69,5.24,4.34,3.92,8.93,2.09,7.94,3.21,3.17
Skin Allergies,5.45,Moderate,"Blood Sugar Level, Physical Activity, Diet Quality","Smoking, Stress",Moderate,Moderate,7.41,5.31,High,8.45,6.84,2.82,8.26,2.9,1.27,9.81,2.88,6.59,7.29,7.49,4.54,2.29,4.87
Hepatitis B,6.19,Moderate,"Diet Quality, BMI, Sleep Quality","Diet, Exercise",Unknown,Low,8.12,6.59,High,9.91,7.92,4.55,6.67,2.7,6.66,9.77,6.45,7.31,2.33,7.79,3.59,2.97,8.0
Stroke,6.8,High,"Gender, Smoking Status, Environmental Factors","Diet, Sleep",Low,Moderate,7.08,6.48,Low,7.74,6.83,5.76,2.87,8.87,5.08,5.86,1.36,8.75,8.95,9.16,8.37,9.23,6.41
Hepatitis C,6.43,Moderate,"Environmental Factors, Family History, Sleep Quality","Diet, Smoking",High,Low,9.19,6.58,Low,8.22,9.2,2.23,3.25,6.95,8.81,3.93,2.09,9.25,7.02,3.26,9.6,7.55,8.72
Alzheimers Disease,5.49,Moderate,"Family History, Blood Sugar Level, Blood Pressure","Stress, Exercise",Low,Low,5.03,5.51,High,3.14,7.53,5.13,8.75,9.34,7.35,1.51,8.75,3.36,9.64,4.45,1.99,2.5,3.38
Tuberculosis,6.59,High,"Gender, Age, BMI","Diet, Stress",Low,Moderate,8.16,8.42,Low,9.52,9.36,6.27,9.27,6.59,4.24,2.53,9.03,6.07,2.39,3.29,9.79,8.62,5.31
Hypertension,5.04,Moderate,"Diet Quality, Age, Gender","Sleep, Exercise",Low,High,6.96,6.35,Moderate,6.72,1.4,2.22,3.6,6.96,4.12,5.39,8.47,4.96,6.38,2.1,4.35,9.41,4.45
