disease,precaution_1,precaution_2,precaution_3,precaution_4,precaution_5,precaution_6,severity_level,urgency,follow_up_days
Vertigo,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,,,Severe,Emergency,48
Flu,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,,Moderate,Low,56
Diabetes Type 2,Monitor for signs of diabetic complications,Get annual eye exams and foot inspections,Take metformin or other medications as prescribed,Maintain HbA1c levels below 7% (individual targets may vary),,,Mild,Emergency,78
Cholecystitis,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,,,Severe,Medium,19
Leukemia,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Mild,Medium,21
Arthritis,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,,,Critical,Medium,10
Sciatica,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Severe,Emergency,27
Tonsillitis,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Mild,Medium,42
Depression,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,,,Critical,Medium,52
Appendicitis,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,,,Moderate,Low,82
PCOS,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,,,Mild,Medium,72
Thyroid Disorder,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Severe,Low,29
Bronchitis,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,,Mild,Medium,38
Cholecystitis,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Mild,High,52
Mumps,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,,,Severe,Low,26
Sinusitis,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,,,Mild,Low,7
Tuberculosis,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,,,Severe,High,35
Osteoarthritis,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,,,Mild,Emergency,78
Diabetes Type 2,Get annual eye exams and foot inspections,Follow carbohydrate counting and portion control,Monitor for signs of diabetic complications,Check blood glucose levels 2-4 times daily as directed,Maintain HbA1c levels below 7% (individual targets may vary),,Severe,Medium,29
Lung Cancer,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,,Critical,Low,89
Rheumatoid Arthritis,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,,Moderate,Low,17
Schizophrenia,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,,,Moderate,Emergency,30
Obesity,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,,Severe,High,20
Ulcerative Colitis,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,,,Mild,Emergency,8
Hepatitis C,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Critical,Low,41
GERD,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,,,Severe,Low,6
Tuberculosis,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Critical,Emergency,8
Hypothyroidism,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Moderate,Emergency,74
Back Pain,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,,,Moderate,Medium,50
Chickenpox,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,,Mild,Medium,23
Malaria,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,,Mild,Medium,31
Cataracts,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,,,Moderate,Emergency,43
Hemorrhoids,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,,,Mild,Emergency,53
Peptic Ulcer,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,,,Severe,Low,27
Peptic Ulcer,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,,Moderate,Emergency,65
Macular Degeneration,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,,,Severe,Emergency,83
Obesity,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,,,Severe,Emergency,2
GERD,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Moderate,Medium,63
UTI,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,,,Mild,Emergency,72
Ear Infection,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,,Severe,Medium,1
Pneumonia,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,,,Critical,High,1
ADHD,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,,,Mild,Emergency,80
Cataracts,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Severe,Emergency,43
Deep Vein Thrombosis,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Critical,Medium,55
Chickenpox,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,,Severe,Medium,12
Deep Vein Thrombosis,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Moderate,Low,82
PTSD,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,,Mild,High,13
Diabetes Type 1,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,,Mild,Low,81
Vertigo,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,,,Severe,Medium,42
Migraine,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,,Mild,Low,62
Celiac Disease,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,,Mild,High,15
Typhoid,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Severe,Low,13
Ulcerative Colitis,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,,,Mild,Emergency,23
Metabolic Syndrome,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Mild,High,66
Alzheimers Disease,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,,,Critical,High,45
Ulcerative Colitis,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,,,Severe,Medium,57
Hemorrhoids,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Critical,Low,87
Hepatitis B,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,,,Critical,Medium,83
Psoriasis,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,,Moderate,Emergency,4
