disease,description,icd_10_code,category,contagious,duration_days,mortality_rate,prevalence_per_100k,age_group_risk,complications,last_updated
Eczema,Eczema is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U87.7,Neurological,Yes,Chronic,8.168,190,All ages,May lead to various complications if left untreated,2024-12-04
Macular Degeneration,Macular Degeneration is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G49.2,Cardiovascular,Yes,14-30,4.393,2353,Adults,May lead to various complications if left untreated,2025-03-21
Depression,Depression is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,V44.3,Infectious,Yes,3-7,13.234,4696,Elderly,May lead to various complications if left untreated,2025-05-13
Osteoporosis,Osteoporosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,M23.9,Endocrine,No,3-7,14.438,1292,Elderly,May lead to various complications if left untreated,2025-06-12
Crohns Disease,Crohns Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Q49.2,Infectious,No,3-7,6.284,1323,Adults,May lead to various complications if left untreated,2025-06-12
Lung Cancer,Lung Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,M11.8,Neurological,Partially,7-14,6.733,2794,Elderly,May lead to various complications if left untreated,2024-12-10
Epilepsy,Epilepsy is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U64.1,Cardiovascular,No,Chronic,14.4,2116,Children,May lead to various complications if left untreated,2024-10-24
Bronchitis,Bronchitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,N88.3,Respiratory,Partially,3-7,14.749,1844,Children,May lead to various complications if left untreated,2025-06-16
Measles,Measles is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,K80.8,Cardiovascular,Yes,3-7,2.752,1048,Elderly,May lead to various complications if left untreated,2025-01-01
Arthritis,Arthritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,M27.8,Cardiovascular,No,Chronic,10.179,430,Adults,May lead to various complications if left untreated,2025-03-13
Metabolic Syndrome,Metabolic Syndrome is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I34.2,Cardiovascular,Yes,7-14,13.068,1175,Elderly,May lead to various complications if left untreated,2024-10-21
Epilepsy,Epilepsy is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R44.9,Respiratory,Yes,3-7,7.146,2554,Adults,May lead to various complications if left untreated,2025-08-19
PTSD,PTSD is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,K73.1,Infectious,No,Chronic,9.108,3899,All ages,May lead to various complications if left untreated,2025-06-23
Lung Cancer,Lung Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,C88.6,Endocrine,Yes,14-30,7.79,3212,Children,May lead to various complications if left untreated,2025-02-25
Common Cold,"A viral upper respiratory infection caused primarily by rhinoviruses, coronaviruses, and adenoviruses. Characterized by inflammation of the nasal passages, throat, and sinuses.",J00,Respiratory,Yes,7-10,0.001,2500,Adults,May lead to various complications if left untreated,2025-03-26
Osteoporosis,Osteoporosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,S78.6,Endocrine,No,3-7,9.397,1056,Adults,May lead to various complications if left untreated,2024-11-05
Kidney Stones,Kidney Stones is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,T59.6,Neurological,No,3-7,8.187,245,Adults,May lead to various complications if left untreated,2025-06-18
Mumps,Mumps is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,H36.8,Endocrine,No,7-14,13.183,4987,Adults,May lead to various complications if left untreated,2024-10-29
Alzheimers Disease,Alzheimers Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,X56.9,Cardiovascular,Yes,7-14,10.741,752,All ages,May lead to various complications if left untreated,2024-09-27
PTSD,PTSD is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U92.6,Respiratory,Yes,7-14,10.532,3660,Adults,May lead to various complications if left untreated,2025-04-07
Diarrhea,Diarrhea is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,C65.4,Respiratory,Yes,3-7,12.53,2200,Elderly,May lead to various complications if left untreated,2025-04-10
Varicose Veins,Varicose Veins is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E69.0,Neurological,Yes,14-30,13.357,1401,Elderly,May lead to various complications if left untreated,2025-01-14
Peptic Ulcer,Peptic Ulcer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O52.7,Neurological,No,Chronic,0.776,3168,Children,May lead to various complications if left untreated,2025-04-08
ADHD,ADHD is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E82.1,Infectious,No,7-14,0.981,4241,Elderly,May lead to various complications if left untreated,2025-04-23
Tonsillitis,Tonsillitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D80.2,Infectious,Yes,7-14,1.697,1747,Children,May lead to various complications if left untreated,2025-03-20
Prostate Cancer,Prostate Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D16.1,Cardiovascular,No,3-7,6.701,2074,Elderly,May lead to various complications if left untreated,2025-08-21
Coronary Artery Disease,Coronary Artery Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,L64.9,Cardiovascular,No,3-7,6.909,2620,Elderly,May lead to various complications if left untreated,2025-07-16
Mumps,Mumps is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U64.4,Endocrine,No,7-14,8.994,2196,All ages,May lead to various complications if left untreated,2025-03-14
Cholecystitis,Cholecystitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D15.8,Neurological,Partially,3-7,13.561,3022,All ages,May lead to various complications if left untreated,2024-11-15
Eczema,Eczema is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,T22.8,Infectious,Yes,7-14,11.284,1616,Adults,May lead to various complications if left untreated,2024-10-16
Meniere Disease,Meniere Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F24.7,Endocrine,No,3-7,0.102,3004,Elderly,May lead to various complications if left untreated,2025-01-19
Glaucoma,Glaucoma is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,K84.5,Cardiovascular,Partially,7-14,4.084,3460,All ages,May lead to various complications if left untreated,2025-03-02
Constipation,Constipation is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U24.2,Respiratory,No,3-7,5.072,4627,Children,May lead to various complications if left untreated,2025-03-16
Obesity,Obesity is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P92.0,Cardiovascular,No,3-7,8.7,4713,Children,May lead to various complications if left untreated,2025-08-23
Diabetes Type 1,Diabetes Type 1 is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W30.8,Neurological,Partially,7-14,0.913,3969,All ages,May lead to various complications if left untreated,2025-03-01
Metabolic Syndrome,Metabolic Syndrome is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G24.1,Cardiovascular,No,14-30,8.771,1158,All ages,May lead to various complications if left untreated,2025-04-12
Meniere Disease,Meniere Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,M50.6,Neurological,Yes,Chronic,6.486,976,Elderly,May lead to various complications if left untreated,2024-10-22
Malaria,Malaria is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F52.8,Infectious,Yes,3-7,14.03,3188,Children,May lead to various complications if left untreated,2025-05-26
Deep Vein Thrombosis,Deep Vein Thrombosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,T64.1,Respiratory,Partially,7-14,6.249,974,Elderly,May lead to various complications if left untreated,2025-02-02
Hyperthyroidism,Hyperthyroidism is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D74.0,Endocrine,No,14-30,13.686,4657,Children,May lead to various complications if left untreated,2025-03-21
Glaucoma,Glaucoma is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,L49.6,Respiratory,No,14-30,8.879,1292,Adults,May lead to various complications if left untreated,2025-06-11
Thyroid Disorder,Thyroid Disorder is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,X86.9,Infectious,No,14-30,6.041,2446,Elderly,May lead to various complications if left untreated,2024-09-15
